City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
cooma,20,AU,64.4,55,-36.24,149.13,64.4,33.33
mier,0,IT,50,87,46.13,12.19,50,4.7
bushtyno,76,UA,48.2,70,48.05,23.49,48.2,3.36
veraval,0,FR,44.6,93,49.65,0.71,44.6,6.93
rosetown,64,CA,28,76,51.55,-107.99,28,7
debre tabor,64,ET,57.08,82,11.86,38.01,57.08,3.15
urdzhar,,,,,,,,
manyana,75,AU,79,53,-35.26,150.51,79,20.8
moctezuma,12,MX,58.97,38,29.81,-109.68,58.97,2.71
ancud,0,CL,48.2,87,-41.87,-73.83,48.2,11.41
yerbogachen,8,RU,13.52,56,61.28,108.01,13.52,3.71
arrecife,,,,,,,,
lungi,92,SL,79.4,78,9.22,-12.68,79.4,7.63
akhmim,0,EG,59,51,26.56,31.74,59,12.75
humaita,40,AR,68,88,-24.93,-65.37,68,5.82
umm durman,,,,,,,,
maniitsoq,80,GL,32.69,71,65.42,-52.9,32.69,14
pontalina,36,BR,67.61,95,-17.52,-49.45,67.61,3.15
guerrero negro,0,MX,59.42,82,27.97,-114.04,59.42,9.19
livingston,1,US,64.4,67,32.58,-88.19,64.4,4.38
dingle,0,PH,87.5,46,11,122.67,87.5,14.45
talcahuano,0,CL,53.6,87,-36.72,-73.12,53.6,6.93
luebo,76,CD,71.03,97,-5.35,21.42,71.03,2.04
bria,0,CF,74.9,74,6.54,21.99,74.9,9.19
atambua,32,ID,83.36,97,-9.11,124.89,83.36,5.73
pizarro,32,CO,77.42,94,4.95,-77.37,77.42,5.95
charters towers,44,AU,83.81,79,-20.07,146.27,83.81,9.19
bengkulu,,,,,,,,
upernavik,12,GL,-1.25,100,72.79,-56.15,-1.25,25.52
todos santos,5,MX,73.4,27,23.45,-110.23,73.4,4.7
safaga,,,,,,,,
ahipara,92,NZ,68.87,87,-35.17,173.16,68.87,13.44
camacha,40,PT,62.6,77,33.08,-16.33,62.6,19.46
slonim,40,PT,62.6,77,33.08,-16.33,62.6,19.46
comodoro rivadavia,0,AR,50,100,-45.87,-67.48,50,12.55
sorland,75,NO,33.8,59,67.67,12.69,33.8,18.34
pazardzik,,,,,,,,
mabaruma,80,GY,79.04,80,8.2,-59.78,79.04,7.96
los llanos de aridane,20,ES,60.8,67,28.66,-17.92,60.8,6.93
pano aqil,20,PK,71.6,64,27.86,69.11,71.6,4.7
palmer,75,AU,68,48,-34.85,139.16,68,19.46
loikaw,0,MM,83.09,46,19.67,97.21,83.09,1.59
maltahohe,32,NA,57.98,45,-24.83,16.98,57.98,3.94
svetlogorsk,90,RU,33.8,95,53.14,59.15,33.8,6.71
sambava,56,MG,81.65,100,-14.27,50.17,81.65,9.08
belaya gora,56,RU,2.09,87,68.54,146.19,2.09,5.5
glendive,90,US,33.8,100,47.11,-104.71,33.8,11.41
orje,56,NO,34,100,59.48,11.66,34,2.24
phuket,40,TH,91.4,55,7.89,98.4,91.4,3.36
bhongaon,44,IN,71.03,68,27.26,79.18,71.03,5.39
shache,0,CN,46.55,50,38.42,77.24,46.55,4.38
lamu,0,ID,86.24,71,0.57,122.3,86.24,2.15
ontario,1,US,64.4,71,34.07,-117.65,64.4,5.82
innisfail,90,CA,32,91,52.02,-113.95,32,14.99
dolores,8,UY,60.95,74,-33.53,-58.22,60.95,11.77
archidona,32,EC,60.95,95,-0.91,-77.81,60.95,2.48
ust-nera,48,RU,7.67,72,64.57,143.24,7.67,2.59
srednekolymsk,0,RU,5.15,67,67.46,153.71,5.15,3.94
agadir,0,MA,73.4,31,30.42,-9.58,73.4,14.99
sorvag,,,,,,,,
kudahuvadhoo,76,MV,83.99,100,2.67,72.89,83.99,11.43
agadez,64,NE,74.27,15,16.97,7.99,74.27,13.56
narsaq,88,GL,37.4,51,60.91,-46.05,37.4,17.22
skjaerhollen,,,,,,,,
odweyne,,,,,,,,
san roque,75,EC,57.2,87,0.3,-78.23,57.2,8.05
ayagoz,32,KZ,27.83,87,47.96,80.43,27.83,4.72
dukat,0,RS,34,70,42.44,22.31,34,1.7
kefamenanu,24,ID,82.19,71,-9.45,124.48,82.19,3.04
rawson,0,AR,48.08,80,-43.3,-65.11,48.08,8.97
constitucion,5,MX,68,20,23.99,-104.67,68,12.75
chimoio,20,MZ,66.2,93,-19.11,33.48,66.2,2.24
parkes,92,AU,73,80,-33.14,148.18,73,13.67
san jeronimo,80,PE,45.02,96,-13.65,-73.37,45.02,1.48
jiddah,,,,,,,,
elizabeth city,1,US,59,54,36.3,-76.22,59,11.41
kismayo,,,,,,,,
campbellsville,75,US,57.99,66,37.34,-85.34,57.99,3.36
yarada,0,IN,84.2,70,17.65,83.27,84.2,2.24
tsumeb,44,NA,72.65,39,-19.25,17.72,72.65,5.06
klyuchi,56,RU,28.46,98,52.25,79.17,28.46,4.94
san borja,36,BO,71.3,95,-14.86,-66.75,71.3,2.48
yaan,88,NG,75.08,92,7.38,8.57,75.08,11.43
nautla,88,NG,75.08,92,7.38,8.57,75.08,11.43
zhangjiakou,0,CN,47.54,59,40.77,114.88,47.54,4.38
mount gambier,12,AU,53.6,62,-37.83,140.78,53.6,19.46
ola,0,RU,26.03,100,59.58,151.3,26.03,11.54
george town,75,MY,86,74,5.42,100.33,86,5.82
shenjiamen,88,CN,50.42,100,29.96,122.3,50.42,10.42
sola,75,NO,39.99,86,58.89,5.65,39.99,6.93
arlit,64,NE,68.69,30,18.74,7.39,68.69,7.18
college,75,US,46.4,39,64.86,-147.8,46.4,3.36
qostanay,0,KZ,35.6,64,53.17,63.58,35.6,11.18
ojinaga,1,US,71.6,11,29.56,-104.41,71.6,8.05
bako,32,NG,78.23,67,9.68,6.4,78.23,9.19
geraldton,5,CA,15.8,33,49.72,-86.95,15.8,5.82
puerto madryn,0,AR,54.2,98,-42.77,-65.04,54.2,12.77
do gonbadan,90,IR,69.8,43,30.36,50.8,69.8,13.87
souto da carpalhosa,0,PT,62.01,87,39.85,-8.82,62.01,3.36
aksay,20,RU,39.2,93,47.27,39.86,39.2,6.71
okitipupa,64,NG,77.42,88,6.5,4.78,77.42,3.38
samana,32,EC,72.38,96,0.12,-76.97,72.38,2.04
manono,32,CD,68.69,96,-7.3,27.4,68.69,3.6
saskylakh,68,RU,1.82,78,71.97,114.09,1.82,4.5
horodnytsya,80,UA,31.88,76,50.81,27.32,31.88,3.38
emba,0,CY,50,100,34.81,32.42,50,5.82
paamiut,76,GL,34.67,85,61.99,-49.67,34.67,48.9
banda aceh,20,ID,83.27,79,5.56,95.32,83.27,2.04
nouakchott,0,MR,62.6,88,18.08,-15.98,62.6,10.29
cleethorpes,0,GB,42.8,75,53.56,-0.03,42.8,12.75
marovoay,20,MG,78.8,94,-16.11,46.64,78.8,5.17
gazanjyk,24,TM,43.4,86,39.24,55.52,43.4,3.6
zhezkazgan,90,KZ,28.4,100,47.8,67.71,28.4,4.47
bay-khaak,80,RU,29.72,71,51.16,94.47,29.72,2.59
massakory,0,TD,78.59,24,13,15.73,78.59,15.01
burgersdorp,0,ZA,46.64,87,-30.99,26.32,46.64,2.59
talara,44,PE,74.18,75,-4.58,-81.27,74.18,5.95
poltavka,80,RU,24.14,88,54.36,71.76,24.14,7.07
vila velha,75,BR,79,94,-3.71,-38.6,79,3.36
tianpeng,0,CN,55.91,100,28.88,112.34,55.91,4.16
luganville,92,VU,79.67,100,-15.51,167.18,79.67,15.12
jibuti,,,,,,,,
roebourne,100,AU,77.15,90,-20.77,117.15,77.15,30.56
robertsport,64,LR,82.64,98,6.75,-11.37,82.64,8.19
visby,36,SE,37.99,93,57.64,18.3,37.99,9.17
ballina,80,IE,46,99,54.11,-9.15,46,8.75
dzaoudzi,40,YT,80.6,88,-12.79,45.27,80.6,4.7
hambantota,0,LK,84.2,79,6.12,81.12,84.2,9.17
aykhal,0,RU,3.8,76,65.95,111.51,3.8,4.05
nome,90,US,70,88,30.04,-94.42,70,4.7
warqla,,,,,,,,
andenes,,,,,,,,
avera,1,US,62.6,67,33.19,-82.53,62.6,4.7
mercedes,1,US,62.6,67,33.19,-82.53,62.6,4.7
asyut,0,EG,55.4,47,27.18,31.19,55.4,11.41
nichinan,75,JP,57.2,44,31.65,131.31,57.2,4.7
atar,0,MR,54.2,53,20.52,-13.05,54.2,3.04
abu zabad,0,SD,63.65,42,12.35,29.25,63.65,4.61
zhigansk,0,RU,3.35,64,66.77,123.37,3.35,6.4
iqaluit,90,CA,1.4,77,63.75,-68.52,1.4,18.34
walvis bay,48,NA,60.01,82,-22.95,14.51,60.01,9.17
coahuayana,0,MX,65.09,57,18.62,-100.35,65.09,2.04
yerofey pavlovich,76,RU,20,40,53.97,121.97,20,9.53
udachnyy,0,RU,6.5,68,66.42,112.4,6.5,3.38
pingliang,0,CN,52,25,35.54,106.68,52,1.01
puksoozero,80,RU,28.37,95,62.59,40.61,28.37,7.18
dunedin,76,NZ,66,83,-45.87,170.5,66,8.01
weihe,24,CN,55.99,59,32.99,105.33,55.99,1.99
san rafael,56,AR,48.53,53,-34.61,-68.33,48.53,3.38
palu,36,ID,78.5,69,-0.9,119.87,78.5,1.7
along,0,IN,64.64,63,28.17,94.8,64.64,2.04
colares,0,PT,57.99,62,38.8,-9.45,57.99,3.6
samarai,76,PG,80.3,100,-10.62,150.67,80.3,17.69
bolivar,90,US,66,51,35.26,-88.99,66,6.73
wellington,20,NZ,73.99,77,-41.29,174.78,73.99,23.04
